year|quarter|TerminDate|submitURL|orgName|clientName|clientGovtEntity|senateID|houseID|contactIntlPhone|name|address|city|state|zip|country|prinCity|prinState|prinZip|prinZipExt|prinCountry|SelfSelect|SignedName|SignedDate|noLobbying|income|expenses|expensesMethod|area_code|issues|agencies|lobbyists|foreignEntIssues|updatedClientAddr|updatedClientCity|updatedClientState|updatedClientZip|updatedClientZipExt|updatedClientCountry|updatedPrinClientCity|updatedPrinClientState|updatedPrinClientZip|updatedPrinClientZipExt|updatedPrinClientCountry|foreignEntities|inactive_lobbyists|affiliatedOrgs|affiliatedOrgUrl|inactive_ali_codes
2013 |Q2 |||AMERICAN IMMIGRATION LAWYERS ASSOCIATION |AMERICAN IMMIGRATION LAWYERS ASSOCIATION |N |2605-12 |310900000 |||1331 G Street, NW , Suite 300 |Washington |DC |20005 |USA ||||||Y |Gregory Chen, Director of Advocacy |07/18/2013 |||97299.89 |C |IMM|ISSUE: S.744- Border Security, Economic Opportunity, and Immigration Modernization Act; H.R. 2278- Strengthen and Fortify Enforcement (SAFE) Act; H.R. 2131-The Supplying Knowledge Based Immigrants and Lifting Levels of STEM (SKILLS) Visas Act; H.R. 1772- The Legal Workforce Act; H.R. 1773-The Agricultural Guestworkers Act; H.R. 1417- Border Security Results Act of 2013; H.R. 2217- 2014 Appropriations for Department of Homeland Security; 2014 Appropriations for Department of Justice |U.S. HOUSE OF REPRESENTATIVES, U.S. SENATE, White House Office, Homeland Security - Dept of  (DHS), Justice - Dept of  (DOJ)|Lobbyist name: Greg  Chen ; Lobbyist name: Bob  Sakaniwa , Covered Position: LD/Counsel to Rep. Honda (D-CA) ; Lobbyist name: Karen  Lucas ||||||||||||||Name:  ; Name:  ; Name:  ; Name:  |||
2013 |Q2 |||National Association for the Advancement of Colored People |National Association for the Advancement of Colored People |N |48975-12 |345850000 |||1156 15th Street, NW , Suite 915 |Washington |DC |20005 |USA ||||||Y |Hilary O. Shelton, Director NAACP Washington Bureau & Senior VP for Policy and Advocacy |07/22/2013 |||68750.00 |A |AGR|ISSUE: Oppose Rep. Hudsons Amendment #22 to H.R. 1947  Oppose H.R. 1947.  Oppose amendment #131 by Congressman Austin Scott (GA) to H.R. 1947.  Oppose cuts to Supplemental Nutrition Assistance Program (SNAP) (Food Stamps) in H.R. 1947.  Support the Gillibrand amendment to S. 954 to expand eligibility for the SNAP program, formerlly known as food stamps.  Oppose the Roberts amendment to S. 954 to make it harder to qualify for the SNAP program, formerlly known as food stamps.  Oppose Inhofe amendment to S. 954, which would repeal the SNAP program and make it a block grant to states and add a work requirement and drug testing requirements for recipients.  Oppose amendment by Congressman Southerland to H.R. 1947 mandating work requirements of SNAP recipients.  Oppose Huelskamp amendment to H.R. 1947 which would create a work requirement for SNAP recipients and repeal the nutrition education and obesity prevention programs.  Oppose Schweikert amendment to H.R. 1947 striking funds for the Healthy Food Financing Inititative.  Support the concerns of black, Southern farmers who may have been left out of the Pigford I or Pigford II settlement. |U.S. HOUSE OF REPRESENTATIVES, U.S. SENATE, Agriculture - Dept of  (USDA), White House Office|Lobbyist name: Hilary  Shelton ||||||||||||||Name:  ; Name:  ; Name:  ; Name:  |||
2013 |Q2 |||National Association for the Advancement of Colored People |National Association for the Advancement of Colored People |N |48975-12 |345850000 |||1156 15th Street, NW , Suite 915 |Washington |DC |20005 |USA ||||||Y |Hilary O. Shelton, Director NAACP Washington Bureau & Senior VP for Policy and Advocacy |07/22/2013 |||68750.00 |A |BAN|ISSUE: Support the Medical Debt Responsibility Act of 2013, S. 160 / H.R. 1767.  Oppose H.R. 1566.  Support the FDIC and OCC proposed guidance on bank Deposit Advance Products, particularly the underwriting requirements and limits on repeat loans.  Support requiring that private education lenders obtain school certification prior to disbursing private education loans.    Oppose H. R. 1077 / S. 949.  Oppose S. 1217.  Support the recent activities of the CFPB aimed at ending discriminatory lending practices in the auto finance market that harm minority car buyers.    Support Mel Watt's nomination as Director of the Federal Housing Finance Agency (FHFA). |U.S. HOUSE OF REPRESENTATIVES, U.S. SENATE, White House Office, Federal Reserve System, Federal Deposit Insurance Commission (FDIC)|Lobbyist name: Hilary  Shelton ||||||||||||||Name:  ; Name:  ; Name:  ; Name:  |||
2013 |Q2 |||National Association for the Advancement of Colored People |National Association for the Advancement of Colored People |N |48975-12 |345850000 |||1156 15th Street, NW , Suite 915 |Washington |DC |20005 |USA ||||||Y |Hilary O. Shelton, Director NAACP Washington Bureau & Senior VP for Policy and Advocacy |07/22/2013 |||68750.00 |A |BUD|ISSUE: Support Moore amendment to HR 2217, increasing the amount provided to the Office of the Secretary of DHS by $3.3 million in FY 2014, with the intention of restoring the Office of Civil Rights and Liberties to Fiscal year 2013 levels.   |U.S. HOUSE OF REPRESENTATIVES, U.S. SENATE, White House Office, Justice - Dept of  (DOJ), Health & Human Services - Dept of  (HHS), Housing & Urban Development - Dept of (HUD), Labor - Dept of (DOL), Education - Dept of, Homeland Security - Dept of  (DHS)|Lobbyist name: Hilary  Shelton ||||||||||||||Name:  ; Name:  ; Name:  ; Name:  |||
2013 |Q2 |||National Association for the Advancement of Colored People |National Association for the Advancement of Colored People |N |48975-12 |345850000 |||1156 15th Street, NW , Suite 915 |Washington |DC |20005 |USA ||||||Y |Hilary O. Shelton, Director NAACP Washington Bureau & Senior VP for Policy and Advocacy |07/22/2013 |||68750.00 |A |CAW|ISSUE: Support $600 million from oil and gas revenues be invested in the Land and Water Conservation Fund and that the program be fully funded by 2015.  Oppose H.R. 2218, The Coal Residuals Reuse and Management Act of 2013.  Oppose The Reducing Excessive Deadline Obligations Act of 2013.  Oppose  |U.S. HOUSE OF REPRESENTATIVES, U.S. SENATE, Environmental Protection Agency (EPA), White House Office|Lobbyist name: Hilary  Shelton ||||||||||||||Name:  ; Name:  ; Name:  ; Name:  |||
2013 |Q2 |||National Association for the Advancement of Colored People |National Association for the Advancement of Colored People |N |48975-12 |345850000 |||1156 15th Street, NW , Suite 915 |Washington |DC |20005 |USA ||||||Y |Hilary O. Shelton, Director NAACP Washington Bureau & Senior VP for Policy and Advocacy |07/22/2013 |||68750.00 |A |CIV|ISSUE: Urge the Census Bureau to end prison-based gerrymandering.  Oppose Vitter amendment to S Con Res 8 regarding photo identification requirements for voters.  Support HR 12, Support S. 123  Support HR 281  Oppose HR 140  Support HR 280  Support re-enfranchiement of ex-felony offenders.  Oppose S. 624.  Support the End Racial Profiling Act, S. 1038.  Support President Obamas Executive Order 13559.  Support an end to federally funded employment discrimination.  Review and Withdraw the June 29, 2007, Office of Legal Counsel Memorandum re: RFRA.  Restore Executive Order 11246.  Support the critical work of the Civil Rights Division at the Department of Justice (DOJ) and the Office of Civil Rights (OCR) at the Department of Education (ED) to enforce civil rights laws, including Title IXs protections against sex discrimination in educational programs receiving federal funds.   Support HR 360 / S 186.  Support H.R. 1755 / S. 815.  Support restoring and expanding Sections 4 and 5 of the Voting Rights Act of 1965 post-Shelby v. Holder.  Support Moore amendment to HR 2217, increasing the amount provided to the Office of the Secretary of DHS by $3.3 million in FY 2014, with the intention of restoring the Office of Civil Rights and Liberties to Fiscal year 2013 levels.    Support laws and regulations to re-enfranchise ex-felony offenders.  |U.S. SENATE, U.S. HOUSE OF REPRESENTATIVES, Education - Dept of, White House Office, State - Dept of (DOS)|Lobbyist name: Hilary  Shelton ||||||||||||||Name:  ; Name:  ; Name:  ; Name:  |||
2013 |Q2 |||National Association for the Advancement of Colored People |National Association for the Advancement of Colored People |N |48975-12 |345850000 |||1156 15th Street, NW , Suite 915 |Washington |DC |20005 |USA ||||||Y |Hilary O. Shelton, Director NAACP Washington Bureau & Senior VP for Policy and Advocacy |07/22/2013 |||68750.00 |A |DOC|ISSUE: Oppose Congress adding any amendments to the appropriatuions billl for the District of Columbia restricting local spending priorities using locally raised funds. |U.S. HOUSE OF REPRESENTATIVES, U.S. SENATE, White House Office|Lobbyist name: Hilary  Shelton ||||||||||||||Name:  ; Name:  ; Name:  ; Name:  |||
2013 |Q2 |||National Association for the Advancement of Colored People |National Association for the Advancement of Colored People |N |48975-12 |345850000 |||1156 15th Street, NW , Suite 915 |Washington |DC |20005 |USA ||||||Y |Hilary O. Shelton, Director NAACP Washington Bureau & Senior VP for Policy and Advocacy |07/22/2013 |||68750.00 |A |DIS|ISSUE: Support the application of Fair Houssing laws to disaster relief for Hurricane Sandy |U.S. HOUSE OF REPRESENTATIVES, U.S. SENATE, Housing & Urban Development - Dept of (HUD), White House Office|Lobbyist name: Hilary  Shelton ||||||||||||||Name:  ; Name:  ; Name:  ; Name:  |||
2013 |Q2 |||National Association for the Advancement of Colored People |National Association for the Advancement of Colored People |N |48975-12 |345850000 |||1156 15th Street, NW , Suite 915 |Washington |DC |20005 |USA ||||||Y |Hilary O. Shelton, Director NAACP Washington Bureau & Senior VP for Policy and Advocacy |07/22/2013 |||68750.00 |A |EDU|ISSUE: Oppose S. 1003.  Support S. 953 |U.S. HOUSE OF REPRESENTATIVES, U.S. SENATE, Education - Dept of, Treasury - Dept of, White House Office, Health & Human Services - Dept of  (HHS)|Lobbyist name: Hilary  Shelton ||||||||||||||Name:  ; Name:  ; Name:  ; Name:  |||
2013 |Q2 |||National Association for the Advancement of Colored People |National Association for the Advancement of Colored People |N |48975-12 |345850000 |||1156 15th Street, NW , Suite 915 |Washington |DC |20005 |USA ||||||Y |Hilary O. Shelton, Director NAACP Washington Bureau & Senior VP for Policy and Advocacy |07/22/2013 |||68750.00 |A |ENV|ISSUE: Oppose H.R. 2218, The Coal Residuals Reuse and Management Act of 2013.  Oppose The Reducing Excessive Deadline Obligations Act of 2013. |U.S. HOUSE OF REPRESENTATIVES, U.S. SENATE, Environmental Protection Agency (EPA), White House Office|Lobbyist name: Hilary  Shelton ||||||||||||||Name:  ; Name:  ; Name:  ; Name:  |||
